time,aeration,rpm,feed_rate,Acid flow,Base flow,Heating/cooling water flow rate(Fc:L/h),Heating water flow rate(Fh:L/h),Water for injection/dilution(Fw:L/h),Air head pressure(pressure:bar),Dumped broth flow(Fremoved:L/h),Substrate concentration(S:g/L),do,penicillin,Vessel volume,Vessel Weight(Wt:Kg),ph,temp,Generated heat(Q:kJ),carbon dioxide percent in off-gas(CO2outgas:%),PAA flow(Fpaa:PAA flow (L/h)),PAA concentration offline(PAA_offline:PAA (g L^{-1})),Oil flow(Foil:L/hr),NH_3 concentration off-line(NH3_offline:NH3 (g L^{-1})),our,Oxygen in percent in off-gas(O2:O2  (%)),Offline Penicillin concentration(P_offline:P(g L^{-1})),biomass,cer,Ammonia shots(NH3_shots:kgs),Viscosity(Viscosity_offline:centPoise),Fault reference(Fault_ref:Fault ref),0 - Recipe driven 1 - Operator controlled(Control_ref:Control ref),batch_id,dt,cum_feed,growth_rate,penicillin_rate,oxygen_efficiency,mixing_intensity,biomass_smooth,penicillin_smooth,biomass_lag1,penicillin_lag1,our_lag1
0.2,30,100,8,0.0,30.118,9.8335,0.0001,0,0.6,0,0.95749,14.711,1.0178e-25,58479,62574.0,6.4472,298.22,1e-06,0.089514,5.0,,22,,0.48051,0.19595,,,0.034045,0,,0,0,1,0.2,1.6,0.0,0.0,0.016017,3000,0.6142370909090908,0.000799258,0.0,0.0,0.0
0.4,30,100,8,0.0,51.221,18.155,0.0001,0,0.6,0,1.0046,14.699,0.001,58487,62585.0,6.4932,298.17,1e-06,0.10176,5.0,,22,,0.058147,0.2039,,,0.038702,0,,0,0,1,0.2,3.2,0.0,0.005,0.0019382333333333333,3000,0.6142370909090908,0.000799258,0.0,1.0178e-25,0.48051
0.6,30,100,8,0.0,54.302,9.5982,0.0001,0,0.6,0,1.0498,14.686,0.00099934,58495,62598.0,6.5425,298.14,1e-06,0.1058,5.0,,22,,-0.041505,0.20575,,,0.04024,0,,0,0,1,0.2,4.800000000000001,0.0,-3.2999999999999176e-06,0.0,3000,0.6142370909090908,0.000799258,0.0,0.001,0.058147
0.8,30,100,8,0.0,37.816,4.3395,0.0001,0,0.6,0,1.0942,14.661,0.00099874,58499,62607.0,6.5753,298.11,1e-06,0.10819,5.0,,22,,-0.056737,0.20602,,,0.041149,0,,0,0,1,0.2,6.4,0.0,-3.000000000000615e-06,0.0,3000,0.6142370909090908,0.000799258,0.0,0.00099934,-0.041505
1.0,30,100,8,0.5181,18.908,1.1045,0.0001,0,0.6,0,1.137,14.633,0.00099821,58501,62613.0,6.5825,298.09,1e-06,0.1103,5.0,1488.0,22,1667.8,-0.049975,0.20589,1.0178e-25,0.52808,0.041951,0,4.083,0,0,1,0.2,8.0,0.0,-2.649999999999441e-06,0.0,3000,0.6142370909090908,0.000799258,0.0,0.00099874,-0.056737
1.2,30,100,8,1.0387,9.4541,0.0001,0.0001,0,0.6,0,1.1782,14.621,0.00099771,58500,62617.0,6.5717,298.08,1e-06,0.11242,5.0,,22,,-0.045267,0.2058,,0.5711585454545455,0.042758,0,,0,0,1,0.2,9.6,0.2153927272727274,-2.500000000000332e-06,0.0,3000,0.6142370909090908,0.0009988,0.52808,0.00099821,-0.049975
1.4,30,100,8,1.5604,4.727,0.0001,0.0001,0,0.6,0,1.2172,14.604,0.00099722,58498,62620.0,6.5521,298.07,1e-06,0.11463,5.0,,22,,-0.039369,0.20569,,0.614237090909091,0.043599,0,,0,0,1,0.2,11.2,0.2153927272727274,-2.4499999999995446e-06,0.0,3000,0.6142370909090908,0.0009982440000000001,0.5711585454545455,0.00099771,-0.045267
1.6,30,100,8,2.0823,2.3635,0.0001,0.0001,0,0.6,0,1.2544,14.583,0.00099674,58497,62622.0,6.5287,298.06,1e-06,0.11694,5.0,,22,,-0.031033,0.20553,,0.6573156363636363,0.044478,0,,0,0,1,0.2,12.799999999999999,0.21539272727272685,-2.3999999999998415e-06,0.0,3000,0.6142370909090908,0.0009977239999999997,0.614237090909091,0.00099722,-0.039369
1.8,30,100,8,0.0,0.0,0.0001,0.0001,0,0.6,0,1.2891,14.547,0.00099627,58494,62624.0,6.5061,298.06,1e-06,0.11936,5.0,,22,,-0.016025,0.20524,,0.7003941818181818,0.045398,0,,0,0,1,0.2,14.399999999999999,0.2153927272727274,-2.3500000000001384e-06,0.0,3000,0.6142370909090908,0.00099723,0.6573156363636363,0.00099674,-0.031033
2.0,30,100,8,0.0,0.0,0.51077,0.0001,0,0.6,0,1.3218,14.529,0.0009958,58491,62626.0,6.4844,298.05,1e-06,0.12189,5.0,,22,,-0.0071831,0.20507,,0.7434727272727273,0.046361,0,,0,0,1,0.2,15.999999999999998,0.2153927272727274,-2.3500000000001384e-06,0.0,3000,0.6573156363636363,0.000996748,0.7003941818181818,0.00099627,-0.016025
